U_AC_1_1,U_DC_1_1,Phase_1_1,U_AC_1_2,U_DC_1_2,Phase_1_2,U_AC_1_3,U_DC_1_3,Phase_1_3,U_AC_1_4,U_DC_1_4,Phase_1_4,U_AC_1_5,U_DC_1_5,Phase_1_5,U_AC_1_6,U_DC_1_6,Phase_1_6,U_AC_1_7,U_DC_1_7,Phase_1_7,U_AC_1_8,U_DC_1_8,Phase_1_8,U_AC_2_1,U_DC_2_1,Phase_2_1,U_AC_2_2,U_DC_2_2,Phase_2_2,U_AC_2_3,U_DC_2_3,Phase_2_3,U_AC_2_4,U_DC_2_4,Phase_2_4,U_AC_2_5,U_DC_2_5,Phase_2_5,U_AC_2_6,U_DC_2_6,Phase_2_6,U_AC_2_7,U_DC_2_7,Phase_2_7,U_AC_2_8,U_DC_2_8,Phase_2_8,U_AC_3_1,U_DC_3_1,Phase_3_1,U_AC_3_2,U_DC_3_2,Phase_3_2,U_AC_3_3,U_DC_3_3,Phase_3_3,U_AC_3_4,U_DC_3_4,Phase_3_4,U_AC_3_5,U_DC_3_5,Phase_3_5,U_AC_3_6,U_DC_3_6,Phase_3_6,U_AC_3_7,U_DC_3_7,Phase_3_7,U_AC_3_8,U_DC_3_8,Phase_3_8,U_AC_4_1,U_DC_4_1,Phase_4_1,U_AC_4_2,U_DC_4_2,Phase_4_2,U_AC_4_3,U_DC_4_3,Phase_4_3,U_AC_4_4,U_DC_4_4,Phase_4_4,U_AC_4_5,U_DC_4_5,Phase_4_5,U_AC_4_6,U_DC_4_6,Phase_4_6,U_AC_4_7,U_DC_4_7,Phase_4_7,U_AC_4_8,U_DC_4_8,Phase_4_8
7.953292932870228e-06,8.031504933993538e-06,-0.3412416902991192,8.764671618828178e-06,8.844509008259836e-06,-0.3299595728009366,8.210332113379477e-06,8.278981941900198e-06,-0.3153723552582009,7.08516042914296e-06,7.136375797313518e-06,-0.2975836696592714,6.714185108990193e-06,6.759002250220676e-06,-0.2873762463334232,6.8093378184463295e-06,6.851568530421972e-06,-0.2787378881131349,6.916729916034973e-06,6.957556437210174e-06,-0.2734666042524566,7.3183017190687645e-06,7.359170837079891e-06,-0.269083565945287,1.207903385866327e-06,1.223649154772217e-06,-0.4327634172131077,1.3434456797250546e-06,1.3599221278692402e-06,-0.4208761510336536,1.2669469072795913e-06,1.2808371678940373e-06,-0.4042301491950853,1.0354634075348397e-06,1.0449518747603415e-06,-0.3829574562980631,9.248997317324062e-07,9.327867134866262e-07,-0.3718269868815843,9.676373227231592e-07,9.751195610686951e-07,-0.3586703911652466,9.992229206677873e-07,1.0068070516550776e-06,-0.3501062612337326,1.0631886869274124e-06,1.0710628310252466e-06,-0.3405652370570297,1.9924475092490805e-07,2.023668009158494e-07,-0.535744900235198,2.206416144460716e-07,2.238894054756476e-07,-0.5223134381558695,2.032780822638053e-07,2.06064668056044e-07,-0.4979931428484145,1.497345620797619e-07,1.515503925331856e-07,-0.4702576279804845,1.3170606333290977e-07,1.3311815165058293e-07,-0.4610627366858707,1.4140627774950908e-07,1.428724253011821e-07,-0.4398104462024397,1.442136965397027e-07,1.4554958201442896e-07,-0.4329605786344028,1.653164007588151e-07,1.667760696452038e-07,-0.4194771949089436,3.219113326503738e-08,3.2848147312427336e-08,-0.644262819070959,3.849884645066975e-08,3.920168883641111e-08,-0.6144319991790859,3.6826500354382745e-08,3.7433355899117426e-08,-0.5797593671593902,2.4948427677002776e-08,2.5282727807586105e-08,-0.5655783430876127,2.6512245050172953e-08,2.6824024626458712e-08,-0.5224209398562119,2.4145045713934253e-08,2.443890271455298e-08,-0.5082780843607133,2.293346467144201e-08,2.3190578448170645e-08,-0.5112882890927529,2.7047891210062053e-08,2.7346470799807254e-08,-0.4883962129501707
7.953292932871461e-06,8.03150493399831e-06,-0.3412416902993762,8.764671574988677e-06,8.844508944719751e-06,-0.3299595728183906,8.21033209456277e-06,8.27898190402052e-06,-0.3153723555894417,7.085160409533805e-06,7.1363757873853775e-06,-0.2975836695776973,6.714185109565732e-06,6.759002250831639e-06,-0.2873762463639578,6.809337829505761e-06,6.851568542870333e-06,-0.2787378883579873,6.9167299154594506e-06,6.957556435988248e-06,-0.2734666042228101,7.318301740954416e-06,7.359170837079891e-06,-0.2690835657879655,1.207903385866327e-06,1.223649154772217e-06,-0.4327634172131077,1.3434456797279415e-06,1.3599221278740133e-06,-0.4208761510364831,1.2669469048398948e-06,1.2808371654501871e-06,-0.4042301493074955,1.0354634099768806e-06,1.0449518796444618e-06,-0.3829574563232861,9.248997317324062e-07,9.327867134866262e-07,-0.3718269868815843,9.676373224261678e-07,9.751195610686951e-07,-0.3586703910913352,9.99222920966973e-07,1.006807051960559e-06,-0.3501062612954784,1.0631886870722252e-06,1.0710628310252466e-06,-0.3405652371027122,1.9924475092490805e-07,2.023668009158494e-07,-0.535744900235198,2.2064161443779846e-07,2.238894054756476e-07,-0.5223134381342827,2.032780822638053e-07,2.06064668056044e-07,-0.4979931428484145,1.497345620797619e-07,1.515503925331856e-07,-0.4702576279804845,1.3170606333290977e-07,1.3311815165058293e-07,-0.4610627366858707,1.4140627774950908e-07,1.428724253011821e-07,-0.4398104462024397,1.442136965397027e-07,1.4554958201442896e-07,-0.4329605786344028,1.6531640075784754e-07,1.667760696440105e-07,-0.419477194904719,3.219113326503738e-08,3.2848147312427336e-08,-0.644262819070959,3.849884645066975e-08,3.920168883641111e-08,-0.6144319991790859,3.6826500354382745e-08,3.7433355899117426e-08,-0.5797593671593902,2.4948427677002776e-08,2.5282727807586105e-08,-0.5655783430876127,2.6512245050172953e-08,2.6824024626458712e-08,-0.5224209398562119,2.4145045713934253e-08,2.443890271455298e-08,-0.5082780843607133,2.293346467144201e-08,2.3190578448170645e-08,-0.5112882890927529,2.7047891210062053e-08,2.7346470799807254e-08,-0.4883962129501707
7.536929643124343e-06,7.611157463903207e-06,-0.3413466044552266,8.324291676292921e-06,8.401062188151316e-06,-0.3275738385299866,8.322302025804668e-06,8.3898380120163e-06,-0.3121150030779666,7.053953390444303e-06,7.103921239741214e-06,-0.295156916895218,6.33501843179693e-06,6.37615688964511e-06,-0.2874291443632023,6.883804047111742e-06,6.925202753419463e-06,-0.2757454897340949,7.034645065884339e-06,7.075159233716837e-06,-0.270181808483155,6.881602979494399e-06,6.919883337500185e-06,-0.2689099712482211,1.154948013687975e-06,1.1695031778837965e-06,-0.4347358906138469,1.243763716457192e-06,1.259190458257904e-06,-0.4223653756197822,1.2301666908236948e-06,1.24321152969266e-06,-0.4044807086724393,1.0006852074768745e-06,1.0100350069637234e-06,-0.3792539538959202,8.652231778906414e-07,8.725120322081811e-07,-0.3719166433863974,9.31095813258247e-07,9.383282366306576e-07,-0.3572815251095486,1.014360074910366e-06,1.0217344653912637e-06,-0.34734891737661,1.0130253335046986e-06,1.020464366045343e-06,-0.3399784939957003,1.942076218854758e-07,1.9720315215459317e-07,-0.533095301642463,2.1026818579862602e-07,2.1346582176955386e-07,-0.5114589351103936,2.085804733017373e-07,2.1136413197880534e-07,-0.4858324719456585,1.578069922823387e-07,1.5951042067421238e-07,-0.4661572191457525,1.269868131904196e-07,1.2826228086726978e-07,-0.4567375420403339,1.439601089716587e-07,1.453859436227602e-07,-0.4336406220699632,1.622148121739987e-07,1.636880434647681e-07,-0.4194469486755477,1.6928925083591557e-07,1.7084486660029565e-07,-0.4035478259866488,2.6622099195280147e-08,2.7144629155280942e-08,-0.6572877069071761,3.4458997810903796e-08,3.507260652089513e-08,-0.6198865591986611,3.334317142014957e-08,3.385263968946284e-08,-0.5861100915850996,2.254006586173078e-08,2.2823098407190304e-08,-0.5667946928229665,2.038211483619238e-08,2.0632946043130825e-08,-0.5340355797569477,2.3724503945031773e-08,2.400350548758733e-08,-0.5076885813482762,2.7951730264596176e-08,2.8265179014083984e-08,-0.482058101211542,2.4909468099680977e-08,2.5146669030758397e-08,-0.5053837549155141
6.355897799222583e-06,6.413005078510157e-06,-0.3298303300634477,7.34030244152884e-06,7.401239480633163e-06,-0.3167887402882196,6.878221453541862e-06,6.929745806681049e-06,-0.3039769859928489,5.880258951292839e-06,5.918027384263937e-06,-0.2883077576413594,5.84255812076212e-06,5.876519182015682e-06,-0.275727945907428,5.5813491745423655e-06,5.612041439870408e-06,-0.2692968590100504,5.552581749323767e-06,5.581692971583104e-06,-0.2652454604345824,5.764869653778834e-06,5.794433192618344e-06,-0.2597743958852915,9.171844016294388e-07,9.282955993497608e-07,-0.4182855257137556,1.0506266170247302e-06,1.0622819945170146e-06,-0.4087286872170999,9.832802457828363e-07,9.92995806156217e-07,-0.3901126599929899,7.888613833799751e-07,7.956519526362212e-07,-0.367045098473132,7.906625513829469e-07,7.967327000923417e-07,-0.3527824217817192,7.458515259523029e-07,7.510596928389672e-07,-0.3464186135844463,7.599666792357669e-07,7.650662392050349e-07,-0.3391737266085586,7.689099956596716e-07,7.740297482069161e-07,-0.3337520770372529,1.3513040442857604e-07,1.370025830030577e-07,-0.5264186475723073,1.664687593810125e-07,1.6870858482507317e-07,-0.5040365171143762,1.5501657264501977e-07,1.5694817030667206e-07,-0.4709306575900804,1.196566965247164e-07,1.2084556708759476e-07,-0.4497567335446931,1.1518844420176381e-07,1.1626558347728792e-07,-0.4301184892023363,1.0351479530885057e-07,1.0444430172141165e-07,-0.4208048307922514,1.0224659409800937e-07,1.0315957811918153e-07,-0.4140202819778601,1.1457163989680441e-07,1.1549459820604118e-07,-0.4059992554148949,2.2255264718458803e-08,2.2661414987529495e-08,-0.6143631528124538,2.6392191651642617e-08,2.6827136011839188e-08,-0.6010757524346986,2.5500526030416264e-08,2.5880475539534494e-08,-0.5638327616790013,1.7237289466280977e-08,1.7477295580561643e-08,-0.5271477895477227,1.8626511857302026e-08,1.883744503482893e-08,-0.4988796387354385,1.5725504620880635e-08,1.5894082478856514e-08,-0.4956676654860801,1.7865464521891073e-08,1.8027677970050805e-08,-0.4842020420872623,1.941850261506137e-08,1.9612432116293927e-08,-0.4594040033730369
9.48147900445268e-06,9.582839312207594e-06,-0.3467381245137135,9.784477650548235e-06,9.883825383746485e-06,-0.3402151585276333,9.405133438433645e-06,9.489935486354176e-06,-0.3247520113808819,8.44209934926421e-06,8.506861463943745e-06,-0.3042987073081341,7.773380569236288e-06,7.828752406413824e-06,-0.2969636581803671,8.1244067613428e-06,8.177997061019836e-06,-0.2851960957565381,8.270400439267288e-06,8.322830163404288e-06,-0.2808027622087162,8.73878164327889e-06,8.791674492949577e-06,-0.2760799601928678,1.4854090545275211e-06,1.5062293291982096e-06,-0.4454459707962277,1.490303369119584e-06,1.510677431924542e-06,-0.4391180453626307,1.4428226238399951e-06,1.4604198211777236e-06,-0.4180408036603285,1.2668771139906929e-06,1.2800226308595658e-06,-0.3909070737746669,1.154279367896761e-06,1.1649378220383454e-06,-0.3799422875450074,1.1751386091532689e-06,1.1851781684939895e-06,-0.3689219868238279,1.2209481476612594e-06,1.230942181682064e-06,-0.3612030020133191,1.2958621380761631e-06,1.306124738589672e-06,-0.3555173634306958,2.45091568137748e-07,2.493301027197532e-07,-0.5580844691324466,2.535617709650062e-07,2.578475812755978e-07,-0.5401498545201358,2.3985724393565725e-07,2.434957873608768e-07,-0.5108818964442664,2.057769354974572e-07,2.083274020442678e-07,-0.47558531797142,1.7437010589454464e-07,1.7640821107013186e-07,-0.4692256222037979,1.7677818442679817e-07,1.7864527569077185e-07,-0.4578930020912103,1.9802577427707705e-07,2.0013994840073329e-07,-0.4335682520461126,2.1704265423286729e-07,2.1912203212082642e-07,-0.4301730247947311,4.498375294429846e-08,4.59229651145812e-08,-0.6522343758010065,4.6765011863402655e-08,4.765409051277296e-08,-0.6480742486350098,4.6170069178756935e-08,4.7070433911824396e-08,-0.5938287963469603,3.434250400059996e-08,3.4873546051268885e-08,-0.5743086915427619,3.3025576171959273e-08,3.345872855505647e-08,-0.5478816576337108,3.077918317761908e-08,3.117129079061937e-08,-0.5290146229012401,3.601514098057508e-08,3.645367544449308e-08,-0.5173220699624216,3.467548823018272e-08,3.510729882387965e-08,-0.5122317348472532
9.493525496118336e-06,9.59505045636963e-06,-0.3465395475389453,1.0349116342284546e-05,1.045336785815141e-05,-0.3358910027703063,8.937558280717716e-06,9.020511358161442e-06,-0.3273001740343857,8.592884881996961e-06,8.659818275042944e-06,-0.3019850940553261,7.469169305034194e-06,7.523108072683361e-06,-0.298041425274658,8.398088905446386e-06,8.45339462605116e-06,-0.2836706118282825,8.136366907232749e-06,8.18840850110052e-06,-0.2806566238674703,8.427005109392422e-06,8.478768066160708e-06,-0.27647032589601,1.4901350284477134e-06,1.511073748109105e-06,-0.4449755225082536,1.6232228327361377e-06,1.6453054361285493e-06,-0.434263641443848,1.4061751076099787e-06,1.4229669296280012e-06,-0.4228450835038866,1.350256066727973e-06,1.3640483761584709e-06,-0.3868204793870534,1.0816079687801284e-06,1.0917585783407317e-06,-0.3840848330994923,1.2567458331166503e-06,1.2676491445602e-06,-0.3623033696378102,1.2370347665890575e-06,1.2472175815478838e-06,-0.3581504166549068,1.2367806281847906e-06,1.2471338327338471e-06,-0.3511590268550058,2.43026654322904e-07,2.472190820893039e-07,-0.559021833417669,2.8491285350980324e-07,2.895225665426543e-07,-0.5360869063616153,2.326009975447413e-07,2.3610900505088853e-07,-0.513221728355267,2.0747009988206504e-07,2.1011645629896747e-07,-0.4793978022545314,1.678572930172389e-07,1.697652623579766e-07,-0.4673426614494632,1.8709679025104516e-07,1.8920963534892613e-07,-0.4487174398915297,1.966460956706588e-07,1.98726206723879e-07,-0.4363701930101946,2.078631007045304e-07,2.0988920685431522e-07,-0.4293365909966938,4.4142804873222336e-08,4.5078058549546976e-08,-0.6538302097300879,5.0647759750562165e-08,5.1648817682692944e-08,-0.6392407075202029,4.090805024449688e-08,4.169755335985139e-08,-0.6055369551162083,3.780543819728284e-08,3.839358264833096e-08,-0.5570181580234634,2.584616015692073e-08,2.6229768489945803e-08,-0.5528456454280505,3.4284079188329656e-08,3.4729603293712383e-08,-0.5257261358657929,3.476314221314079e-08,3.518206011229259e-08,-0.502836479271382,3.6871568444830406e-08,3.731263133045519e-08,-0.5012808610779523
6.19368685271077e-06,6.248556887464719e-06,-0.3299110361751548,6.852048102809919e-06,6.908963983692359e-06,-0.3205683140786158,6.63581141265186e-06,6.6855592716555e-06,-0.3032067336487615,5.643472490111636e-06,5.67954895530015e-06,-0.28921203121537,5.631644700255121e-06,5.664707215919901e-06,-0.2759263202346537,5.17970521844869e-06,5.2079362256795705e-06,-0.2721606575131971,5.480326259094158e-06,5.5088354773553205e-06,-0.2644395395234939,5.923473985124326e-06,5.952917069488464e-06,-0.2585462983214909,8.823097623914393e-07,8.928258320415107e-07,-0.4232046912264167,1.0029334653022634e-06,1.0142106225709165e-06,-0.4058852914544502,9.621477462494428e-07,9.71522324105261e-07,-0.3863188763760989,7.530459476353707e-07,7.592921975893405e-07,-0.3729429603644373,7.447373468665507e-07,7.502277014013221e-07,-0.3586906373119374,6.80123300408787e-07,6.84880375062654e-07,-0.3484862339394691,7.604992337988212e-07,7.656333643326446e-07,-0.3368857729386172,7.941427441299553e-07,7.992631763673857e-07,-0.334803323326542,1.351207245176646e-07,1.371144281409235e-07,-0.5166386074839722,1.489210418960718e-07,1.5086318444739544e-07,-0.5090624973150991,1.412915961449662e-07,1.429876061668025e-07,-0.4798488017533081,1.0882487251753621e-07,1.0995208226681577e-07,-0.4523508346873208,1.0701113373487785e-07,1.079944343224523e-07,-0.4362591746922662,8.912831786819482e-08,8.997101460137514e-08,-0.4297306692043849,1.064188381602485e-07,1.073471843931955e-07,-0.4079568884947344,1.2050523508104894e-07,1.2142619824094913e-07,-0.4039936932441901,2.1594224431003484e-08,2.200007952915364e-08,-0.6064092781116837,2.7121064882660922e-08,2.7530127194146536e-08,-0.5920162307673256,2.1789342208068373e-08,2.205798979238709e-08,-0.5826063629655519,1.8244791324165192e-08,1.8464884309514266e-08,-0.5242201494178377,1.6568332316903646e-08,1.67553026552309e-08,-0.5114450288334753,1.3333916007728064e-08,1.3477291622930931e-08,-0.5116869549363109,1.6018216883769396e-08,1.6171186092171736e-08,-0.4882621782479848,1.7805023671419572e-08,1.7982251222942072e-08,-0.4743100157831986
9.923463314014154e-06,1.0020661936675368e-05,-0.3398529828317686,1.1214877827210517e-05,1.1315817964434517e-05,-0.3285236359726513,9.66276735612728e-06,9.742101039262153e-06,-0.3186402746383607,8.597980927046698e-06,8.65852478410232e-06,-0.2990150408665466,8.736855007731538e-06,8.793084533464654e-06,-0.2851880171947074,8.349198867507657e-06,8.39866902063052e-06,-0.2812364645850816,8.713194119714092e-06,8.763104047437259e-06,-0.2723414079755341,9.088078605097068e-06,9.137712007845997e-06,-0.2690501595813382,1.4661532673028425e-06,1.4848020825781757e-06,-0.4368789165794472,1.7560482800239973e-06,1.7770614704002952e-06,-0.4181058693727539,1.4007099509285112e-06,1.4160738767791064e-06,-0.4091616659713044,1.237659356242135e-06,1.249034054734119e-06,-0.3822433051714897,1.2113896050932463e-06,1.2215788456394662e-06,-0.3637072853823895,1.1690817969095118e-06,1.178301194528524e-06,-0.3551471876398569,1.159137002876668e-06,1.1678134923396042e-06,-0.3535897515564004,1.3026224739022656e-06,1.3121424242013984e-06,-0.3410085485574385,2.3716237612971325e-07,2.409628574179159e-07,-0.5333754362939502,2.8482440055881125e-07,2.891892103836627e-07,-0.5110762430270943,2.3115028556184778e-07,2.341677392299051e-07,-0.4994965541008159,1.8755425120511305e-07,1.895991940251141e-07,-0.4705077680668765,1.877819218202375e-07,1.89686636987578e-07,-0.4464439312306547,1.7185609933500205e-07,1.7346858374044137e-07,-0.4415627435422598,1.7734847508964789e-07,1.7894861766441834e-07,-0.4316870150514968,1.9857284233691355e-07,2.0033075805561326e-07,-0.4184212742732699,3.7991300317569555e-08,3.862658603492388e-08,-0.6454486274490991,4.6599100379155536e-08,4.739159333339595e-08,-0.6206847252401441,3.6687629641634255e-08,3.7258647277684e-08,-0.5932595733672696,3.026156709170162e-08,3.0695734131726885e-08,-0.5456705530178738,2.883785210504239e-08,2.9194305408097352e-08,-0.5357354492219488,2.7463907887624924e-08,2.77981406975586e-08,-0.5110424081566171,3.065198659484922e-08,3.101171992302882e-08,-0.4952836895946088,3.195563537509239e-08,3.2290740454685834e-08,-0.4920573948257192
1.3166253443763874e-05,1.331253914421267e-05,-0.3537499493920911,1.412140739457612e-05,1.4268733340604313e-05,-0.3439709748615303,1.2820805939725809e-05,1.2942237658185772e-05,-0.3306010450027834,1.1319956957538697e-05,1.1410642317180473e-05,-0.3110320653572665,1.0938996634996805e-05,1.101957916175214e-05,-0.2997045707823489,1.1485376857409712e-05,1.1564002214766752e-05,-0.2897794283947558,1.17364870433886e-05,1.1813068848740989e-05,-0.2843586185027354,1.1983961084010665e-05,1.2059391237908748e-05,-0.2802805061326627,2.1108976327563914e-06,2.14186260967011e-06,-0.452339184408236,2.3367330658993067e-06,2.368380789520516e-06,-0.442184866520807,2.0597737720344466e-06,2.0852397726417425e-06,-0.4230289656886908,1.7471926076064302e-06,1.765500703201025e-06,-0.4007228825906598,1.627397651163151e-06,1.6426808409325917e-06,-0.3870900273722639,1.7085941928167148e-06,1.7243298726716102e-06,-0.3714347636390273,1.724514635215705e-06,1.7395187800765565e-06,-0.3651373762257044,1.8137580732967425e-06,1.8290597048470225e-06,-0.3590033530938439,3.853124503594211e-07,3.9242415805688934e-07,-0.5454568836898268,4.3777581261427035e-07,4.449277335449911e-07,-0.5337092407190275,3.3586367253517974e-07,3.41082015808653e-07,-0.5241348347357149,2.879533142754674e-07,2.9156091028761657e-07,-0.49198771418817,2.536398159643677e-07,2.566515789065367e-07,-0.4750883822813677,2.7850786453819325e-07,2.816459463077894e-07,-0.4558118359717624,2.808538366441588e-07,2.838402507201311e-07,-0.4483669313067575,2.983990578649621e-07,3.01419172481012e-07,-0.4406948558385919,7.066554843794071e-08,7.21384517427802e-08,-0.6540297460661855,7.52727059717167e-08,7.681737682380347e-08,-0.6421120700404763,5.7055759444610675e-08,5.8160088333646974e-08,-0.6268527980733186,5.1625563014504696e-08,5.245046744154127e-08,-0.5674452722499814,4.5747591661231346e-08,4.640885441179302e-08,-0.5473973373255542,4.7295767384362955e-08,4.7888803909741165e-08,-0.5422956084813818,4.842140936897485e-08,4.902562037048799e-08,-0.5286296725549944,5.67453825342578e-08,5.74768239986695e-08,-0.5011465184970435
1.01992405056101e-05,1.0301162679247731e-05,-0.3443536666427514,1.099865391327762e-05,1.1102225519249893e-05,-0.3334801867831941,1.077863557423424e-05,1.0868349848705956e-05,-0.3164292741074583,9.152436491231283e-06,9.218550187848984e-06,-0.3006697412703479,8.990696428540574e-06,9.049520624788436e-06,-0.2883469192562627,8.639916276004572e-06,8.692481830879241e-06,-0.2839315948197727,9.593773818620385e-06,9.649650749990485e-06,-0.2731966858670839,9.484383947715148e-06,9.537672414361435e-06,-0.271248925709517,1.5617040751360173e-06,1.5819092679065951e-06,-0.4400768122390495,1.701399680000226e-06,1.7222318303579865e-06,-0.4263686965676896,1.6323513547890266e-06,1.6502191882385156e-06,-0.4067004168575351,1.3211067251696707e-06,1.3337801160422423e-06,-0.3836619977679281,1.2584704845380904e-06,1.2694804704690286e-06,-0.3705423238456786,1.2301450032354567e-06,1.2399893073680852e-06,-0.3593934582279804,1.3718448823138656e-06,1.3822614019157277e-06,-0.3488606940592987,1.3368725105333702e-06,1.3467742298275717e-06,-0.3475275012621367,2.6183214381196457e-07,2.6603678916940735e-07,-0.5388894280103378,2.919218016448124e-07,2.9636183110056977e-07,-0.5180882947637869,2.694081723863909e-07,2.73006717818523e-07,-0.5003010653980581,2.039930602466999e-07,2.062575328829249e-07,-0.473611342274827,1.9676642669041678e-07,1.9885474055801797e-07,-0.44875303778177,1.789000133921372e-07,1.8069436962471446e-07,-0.4428801012907665,2.1175867581602333e-07,2.136793924942455e-07,-0.4298464327063712,2.099379159300877e-07,2.1177020139988458e-07,-0.4255091389303769,4.68794867350888e-08,4.775001016125456e-08,-0.6288601647394957,4.625140941894916e-08,4.7103592365168336e-08,-0.6255847897211761,4.2090574862004505e-08,4.285259412425749e-08,-0.5935558657317318,3.4942471561507826e-08,3.5460862601963953e-08,-0.549721719525945,3.212809598849219e-08,3.2531401947767155e-08,-0.5350247598763112,3.28108971529996e-08,3.3255179805244785e-08,-0.4990320825903472,3.3474718415968176e-08,3.3847821212628125e-08,-0.5097027827217264,3.4463160141649625e-08,3.4842209727935594e-08,-0.4948699214623934
