U_AC_1_1,U_DC_1_1,Phase_1_1,U_AC_1_2,U_DC_1_2,Phase_1_2,U_AC_2_1,U_DC_2_1,Phase_2_1,U_AC_2_2,U_DC_2_2,Phase_2_2,U_AC_3_1,U_DC_3_1,Phase_3_1,U_AC_3_2,U_DC_3_2,Phase_3_2,U_AC_4_1,U_DC_4_1,Phase_4_1,U_AC_4_2,U_DC_4_2,Phase_4_2
7.66526112638328e-06,7.789363487982787e-06,-0.4221560310159085,1.188777904063274e-05,1.2002028241524268e-05,-0.3233565737833488,1.199904703380993e-06,1.22520392004768e-06,-0.544112618884763,1.9627314668627398e-06,1.987094201010393e-06,-0.4198701166766788,2.031643341775525e-07,2.0835234028384053e-07,-0.6682865541509259,3.3509877254669266e-07,3.402584424102179e-07,-0.5161668817691399,3.347259996219236e-08,3.456589595417124e-08,-0.8000885355986217,6.479257494419119e-08,6.60529353692597e-08,-0.5985236374611992
9.025161456348736e-06,9.181707649684968e-06,-0.4330519200023918,1.238177780027172e-05,1.2511818896637096e-05,-0.3374807858742604,1.4986123270870223e-06,1.5334921768397978e-06,-0.5526522435685473,2.070448261177586e-06,2.099146648699151e-06,-0.4353112765219232,2.666709075845311e-07,2.7457980587026785e-07,-0.6748538575970342,3.856777663698362e-07,3.923153340969848e-07,-0.5301557028397792,4.6583159380876936e-08,4.830732065489931e-08,-0.8018611655123914,7.609793921099097e-08,7.754192912307431e-08,-0.6360072679364991
7.357508777284696e-06,7.474178728368903e-06,-0.4204977400119054,1.1344684589130818e-05,1.145086844045092e-05,-0.3238980908585651,1.147936687321661e-06,1.172098276205378e-06,-0.5390299871734,1.7928160245513068e-06,1.8149306927970147e-06,-0.4218192607870612,1.987829337726109e-07,2.0385237650786945e-07,-0.6569952309720566,3.2772782251403864e-07,3.327874823696836e-07,-0.511694322440009,2.7567449896411278e-08,2.8342516308444525e-08,-0.8439202415340011,6.067010015140533e-08,6.17470521312826e-08,-0.6069878782422967
5.807845050818572e-06,5.891845161527961e-06,-0.4095767625890952,9.802751983303225e-06,9.887214641778696e-06,-0.3131018633598198,8.544759811924866e-07,8.710832499022849e-07,-0.5230770606549154,1.5192684166556831e-06,1.5367245099979589e-06,-0.4029645851619389,1.410802175295437e-07,1.4443180426594056e-07,-0.6330757354707636,2.585528418941865e-07,2.621214723562153e-07,-0.4930951761472574,2.0688270393675774e-08,2.1226778766099043e-08,-0.7819654102313719,4.7349727506493296e-08,4.8205878267346464e-08,-0.57159009307955
9.182143919166155e-06,9.344045618922825e-06,-0.4356154337447404,1.3133604253361836e-05,1.3273177074862426e-05,-0.335441487365338,1.5320008090792558e-06,1.5677522151919667e-06,-0.5584844936772231,2.245777047559371e-06,2.2763225969104867e-06,-0.4337170605065348,2.838716282052434e-07,2.9233632981617565e-07,-0.6660182460422155,4.0510074238212164e-07,4.1228361729253043e-07,-0.5300770903625402,4.544421801016813e-08,4.700694517546448e-08,-0.8357193785810245,8.321386643947265e-08,8.496587747803016e-08,-0.6197955335749923
9.155774077877292e-06,9.317097725449553e-06,-0.4357198233344853,1.3911251951906529e-05,1.4056689074074865e-05,-0.3333216358492928,1.533531619029388e-06,1.5692855487744313e-06,-0.5575996033041888,2.372417482482063e-06,2.4060231779620296e-06,-0.427533250217336,2.822965017249035e-07,2.907772031007549e-07,-0.6665735708291316,4.332162499768405e-07,4.404711104334472e-07,-0.5303911735891336,4.4928601774734404e-08,4.6490669342112994e-08,-0.8372371007653456,9.233562653534209e-08,9.42893216601689e-08,-0.6137881374969717
5.770435600754143e-06,5.852325044909666e-06,-0.4091301007165508,9.33923796497045e-06,9.418342740965145e-06,-0.315985334848995,8.156372911380703e-07,8.309694596113833e-07,-0.5261231502056696,1.4177546655985255e-06,1.433307432162184e-06,-0.4092798513895404,1.4096568816250653e-07,1.443970333585893e-07,-0.6223956433313799,2.3626206989209318e-07,2.394344503338213e-07,-0.5013755723900927,2.0187080691187464e-08,2.0653067923699092e-08,-0.7949490227451854,4.1192720044190034e-08,4.1914475308283157e-08,-0.5858571287606431
7.203956930658111e-06,7.318073740451996e-06,-0.4169274051111774,1.1622472530290692e-05,1.173021067442009e-05,-0.3193125226114556,1.1127527017065595e-06,1.13565111706103e-06,-0.5342459713820936,1.8448138301470852e-06,1.867042498622224e-06,-0.4166175946038198,1.8798816575108203e-07,1.9267687725202529e-07,-0.6558372688207939,3.358020827014404e-07,3.409233217141424e-07,-0.5034247246679816,2.9740472006697683e-08,3.05650420446104e-08,-0.8126551281571095,6.796355641655487e-08,6.924982445805334e-08,-0.5844809481415248
9.792670121144065e-06,9.971287733591315e-06,-0.4383517254259944,1.460273318580555e-05,1.475868426360898e-05,-0.336752395666882,1.6888414452049423e-06,1.7286710480908134e-06,-0.5610944429809591,2.550531426308632e-06,2.58696547822368e-06,-0.4326784034071502,3.073970993296785e-07,3.162203773633495e-07,-0.6912007614379552,4.827351220927559e-07,4.912727698476156e-07,-0.528184840717238,5.306733000386744e-08,5.490076544665406e-08,-0.8470778722925192,9.49096345366175e-08,9.693629833105786e-08,-0.629815293620137
7.581193524145801e-06,7.703155777067641e-06,-0.421344930295222,1.1513463461998312e-05,1.162378457109136e-05,-0.3257884978144774,1.1964542757719311e-06,1.2222928897549078e-06,-0.5376753740696676,1.8688290982192395e-06,1.8928881598009896e-06,-0.4190768166424813,1.9897627245936466e-07,2.0422783576660495e-07,-0.6636835279067337,3.278613094740616e-07,3.328940361195078e-07,-0.516076941042348,3.2115924185787555e-08,3.3059220908044514e-08,-0.8069365437831774,6.285986968917119e-08,6.407176589384675e-08,-0.6042458176979704
